Sample	tsne1	tsne2	Patient	Position	Cluster	Cluster
P1_T1_Villus_B2_51	13.1876208355037	-0.439342169382842	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_52	13.3495854501059	-1.91234923100873	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_54	17.119423543239	2.45599569062662	P1	Villus	8	Mesenchymal
P1_T1_Villus_B2_55	12.0929285698209	1.16993232317288	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_58	5.37931616933627	3.44611937205565	P1	Villus	5	Enter-1
P1_T1_Villus_B2_66	11.5052563566304	-1.07694048356868	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_7	14.3274097732547	0.514117755953315	P1	Villus	4	Goblet-2
P1_T1_Villus_B2_74	10.3474322707718	0.0598837855628964	P1	Villus	5	Enter-1
P1_T1_Villus_B2_75	12.3926707280603	-0.710569156559055	P1	Villus	4	Goblet-2
P1_T1_Villus_B2_79	12.0897597659065	-2.02515772231697	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_80	11.9995405874571	-2.15758832933117	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_81	12.6213746781919	0.238011104863429	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_82	13.0775545347442	-1.3585263702027	P1	Villus	4	Goblet-2
P1_T1_Villus_B2_87	12.7886237360876	-1.05838586235998	P1	Villus	10	OLFMGoblet-2-high
P1_T1_Villus_B2_88	12.6849447990786	0.44214626831136	P1	Villus	4	Goblet-2
P1_T1_Villus_B2_9	-0.204888560200125	-10.0854214448174	P1	Villus	5	Enter-1
P1_T1_Villus_B2_91	8.0777737680757	-4.23588623448451	P1	Villus	5	Enter-1
P1_T1_Villus_B2_94	12.6481221345104	1.91760460572091	P1	Villus	4	Goblet-2
P1_T2_Crypt_B1_1	-2.74233018785303	0.276556339296417	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_11	-7.17829329275257	4.02101411879345	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_12	-1.2164490292579	6.23009815911678	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_14	0.234884134174133	5.24076450279933	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_15	2.39030220549254	4.38638231582476	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_16	-1.46196981202043	1.25900525161549	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_17	-0.972284310369612	7.86356485496761	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_18	-0.621260200816837	10.4433827245625	P1	Crypt	2	Enter-2
P1_T2_Crypt_B1_19	-1.10458776543733	2.54858911160283	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_2	-4.61109130965334	-2.14421696442311	P1	Crypt	6	MKI67-high
P1_T2_Crypt_B1_20	16.8524413548718	11.6798515936225	P1	Crypt	8	Mesenchymal
P1_T2_Crypt_B1_22	-4.80480264671184	-2.24340297835045	P1	Crypt	6	MKI67-high
P1_T2_Crypt_B1_23	0.339818102406023	-2.69830669851963	P1	Crypt	5	Enter-1
P1_T2_Crypt_B1_24	-5.24057951510544	1.19863774697176	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_25	16.656207346023	11.1418852307228	P1	Crypt	8	Mesenchymal
P1_T2_Crypt_B1_26	-2.6096844162765	2.11013277910283	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_27	-2.21220962113512	1.68288511290801	P1	Crypt	3	Enter-3
P1_T2_Crypt_B1_29	2.30312694105828	-4.86841868056429	P1	Crypt	2	Enter-2
